출처번호,문서제목,요약문서,원문,동일내용주소번호
50,[출입국재류관리청] 미얀마인 긴급피난 조치와 신청,https://docs.google.com/document/d/1Tv7Dz3jPJi_N3s0JnYm7nZnIjBgq6yn2GQ-prnuNs-s/edit?tab=t.0,https://www.moj.go.jp/isa/applications/resources/10_00036.html,
51,[출입국재류관리청] 재류자격 특정활동의 범위와 유형,https://docs.google.com/document/d/13Alva6cYMuobzbLsMZ30K9PP9uAIAj9KiRzmHPIEeF0/edit?tab=t.0,https://www.moj.go.jp/isa/applications/status/designatedactivities,
52,[출입국재류관리청] 입국·재류·취업·재입국 종합 Q&A,https://docs.google.com/document/d/1cK3MklwEOK92l5izwyZwAc6B_eD8BZwerb6jdooG0bk/edit?tab=t.0,https://www.moj.go.jp/isa/immigration/faq/kanri_qa.html,
53,[출입국재류관리청] 미얀마 정세 불안에 따른 일본 체류 신청 안내,https://docs.google.com/document/d/1Xucaw2iG6nLiFy_GDONO_26ghoicUmYrcmfAL3k_Wd4/edit?tab=t.0,https://www.moj.go.jp/isa/content/001349365.pdf,
54,[출입국재류관리청] 미얀마 긴급피난 조치 Q&A,https://docs.google.com/document/d/1Q_ipHCrzQsuOD52VmD3yKPYzzcIzsYg3ft7KoV_yVOs/edit?tab=t.0,https://www.moj.go.jp/isa/content/001352920.pdf,
55,[출입국재류관리청] 미얀마 긴급피난 조치 — 2024년 10월 개정 비교,https://docs.google.com/document/d/1mzfvKBditMHXc89sTE6B0YnKnz86wVE-1ljc7vrXj6E/edit?tab=t.0,https://www.moj.go.jp/isa/content/001349360.pdf,
56,[출입국재류관리청] 외국인 적정 고용과 재류카드 확인,https://docs.google.com/document/d/124LTid5BwkDwmNIe6GESgl054LSWIJ0oZAwrk-db0dA/edit?tab=t.0,https://www.moj.go.jp/isa/content/001439274.pdf,
57,[e-Stat·출입국재류관리청] 재류외국인 통계 데이터 목록과 이용 방법,https://docs.google.com/document/d/1URryVJPHqSZVHlzESTWEKyKU0F3BDknkBvWPC_oTguI/edit?tab=t.0,https://www.e-stat.go.jp/stat-search/files?cycle=1&layout=dataset&tclass1=000001060399&tclass2val=0&toukei=00250012&tstat=000001018034,
58,[일본학생지원기구 JASSO] 2025년 외국인 유학생 및 2024년 일본인 해외유학 조사,https://docs.google.com/document/d/1mk5qfOPMnr3Ulp6uLOwMAm-V6FmAxeFlfwoNybuDvGg/edit?tab=t.0,https://www.jasso.go.jp/about/press/jp2026052901.html,
59,[일본사법지원센터·법무성] 중장기 체류외국인 법률지원 체계,https://docs.google.com/document/d/1BT30aV5zwMWLkuGmBHAWP19sltfHHaAtbv0_TW4ictM/edit?tab=t.0,https://www.moj.go.jp/content/001464243.pdf,
60,[출입국재류관리청] 2025년 말 재류외국인 통계표·도표,https://docs.google.com/document/d/1FuNP_5fYgV-8AuPhDH-4y2ilahnnybHzl2pn_I_RMiU/edit?tab=t.0,https://www.moj.go.jp/isa/content/001459094.pdf,
61,[후생노동성] 2025년 10월 외국인 고용 신고 통계,https://docs.google.com/document/d/1SHzz3rO1AdHMdr_XfE0Fx-1QKuSrMGrIgnqq_2O96IY/edit?tab=t.0,https://www.mhlw.go.jp/stf/newpage_68794.html,
62,[출입국재류관리청] 특정기능 제도 공식 자료실 안내,https://docs.google.com/document/d/1vbUQbD1EAA6an-1CpsYz9pPNDYS3xrX7EtCJ5LA1LBk/edit?tab=t.0,https://www.moj.go.jp/isa/applications/ssw/,
63,[행정서사 시카마 사무소] 특정기능 1호 수용 상한과 증가 속도 분석,https://docs.google.com/document/d/1x8bT6mIuB8Klujn1lq8mcXjpI21852taN648J4q0cOM/edit?tab=t.0,https://gyousei-shikama-office.com/blog228/,
64,[출입국재류관리청] 외국인 근로자 제도 개요 — 2026년 7월,https://docs.google.com/document/d/1-85FxdOqdRbghWUUHm_eUi6CNl2mcOprFD-NrLEhp4Y/edit?tab=t.0,https://www.moj.go.jp/isa/content/001335263,
65,[출입국재류관리청] 2025년 말 특정기능 1호 국적·지역·분야 통계,https://docs.google.com/document/d/12EG0Hg9B858jHz3R9WWqTYcyFJUKtdbakwcXknh7kiI/edit?tab=t.0,https://www.moj.go.jp/isa/content/001459471.pdf,
66,[출입국재류관리청] 2025년 말 특정기능 통계의 주요 변화,https://docs.google.com/document/d/1NY3gLnflvxS0kM0_1At7k1zTWE0H_7yLfe3HwH9A20k/edit?tab=t.0,https://www.moj.go.jp/isa/content/001459490.pdf,
67,[출입국재류관리청] 2016년 입관법 개정과 개호 재류자격 창설,https://docs.google.com/document/d/141tiaym5EWSEagZbZfx1Lva0BjnDKmZYBQGDQjamHcs/edit?tab=t.0,https://www.moj.go.jp/isa/laws/h28_kaisei.html,
68,[e-Stat·출입국재류관리청] 국적·재류자격별 재류외국인 통계표 안내,https://docs.google.com/document/d/1jdG87MLxvbOE-A6pmtqxpveRFH7DI6-dlarvQUn1zIg/edit?tab=t.0,https://www.e-stat.go.jp/stat-search/database?statdisp_id=0004019020,
69,[外国人人材.com] 재류자격 개호의 인원 추이와 국적 구성,https://docs.google.com/document/d/12Twtjw2_izxBQa8VeTsFDyP0xc5gOEqnmHJjJ6THz64/edit?tab=t.0,https://gaikokujinjinzai.com/data/zairyu/kaigo/,
70,[출입국재류관리청] 특정기능 공업제품 제조업 분야 안내,https://docs.google.com/document/d/1GR6OD16H1K-PK0LMN_WrdIHP3rmzFaDT5VQyng1vIPg/edit?tab=t.0,https://www.moj.go.jp/isa/policies/ssw/manufacturing.html,
73,[출입국재류관리청] 특정기능 외국인 수용 운영요령 — 2025년 4월,https://docs.google.com/document/d/1zoLKZ5kDycf47hNVWgMYulRC07OPfC52Jb11hDU_h_M/edit?tab=t.0,https://www.moj.go.jp/isa/content/930004944.pdf,
74,[출입국재류관리청] 특정기능 고용 시 수용기관·지원기관의 의무,https://docs.google.com/document/d/1hQCNwc_k7W0133Pw9ZscwuNkdPyQNLFjDGXjoTvUKqI/edit?tab=t.0,https://www.moj.go.jp/isa/policies/ssw/chuui.html,
76,[출입국재류관리청] 기술·인문지식·국제업무와 특정기능의 차이,https://docs.google.com/document/d/1N_L8XYKH6oQHGJQHG6nNwLaJsU9tXzX1ZO19nN60x5E/edit?tab=t.0,https://www.moj.go.jp/isa/content/001452975.pdf,
79,[출입국재류관리청] 재류자격 변경허가 신청 안내,https://docs.google.com/document/d/1gfUW_DBgEWOfjoPVYJWB2mEz6s3hOICy4es4n6809i8/edit?tab=t.0,https://www.moj.go.jp/isa/applications/procedures/16-2.html,
81,[경제산업성] 제조업 육성취업 협의·연락회 — 제1회 자료,https://docs.google.com/document/d/1cQwF-Ach2eE3BZ71f6hLIMO3aCLVzDOoK0hr_529Fmo/edit?tab=t.0,https://www.meti.go.jp/policy/mono_info_service/gaikokujinzai/kyogikai/ikusesyuro_kyogi_renrakukai_20260508.pdf,
85,[오사카부 사회복지협의회] 개호·복지 지원 대여제도 종합 안내,https://docs.google.com/document/d/1SQzbb_i8KulfRK5x401pJFWGgDAoydse7N4Wy2sZq4I/edit?tab=t.0,https://www.osakafusyakyo.or.jp/syuugakushikin/nursing/,
